claim_id,shipment_id,claim_amount,claim_reason,claim_status
CL00000,S012014,1878,Damage,Under Review
CL00001,S013020,5748,Late Delivery,Open
CL00002,S036297,4611,Late Delivery,Open
CL00003,S076532,2923,Late Delivery,Under Review
CL00004,S037223,1853,Customs Issue,Closed
CL00005,S018814,7807,Late Delivery,Closed
CL00006,S067423,8537,Lost Container,Open
CL00007,S053840,11893,Damage,Closed
CL00008,S094829,11129,Damage,Under Review
CL00009,S076088,12836,Customs Issue,Open
CL00010,S081493,9387,Customs Issue,Closed
CL00011,S044421,14445,Late Delivery,Open
CL00012,S007116,3311,Lost Container,Open
CL00013,S031412,10918,Customs Issue,Open
CL00014,S084421,7756,Late Delivery,Open
CL00015,S032522,14104,Damage,Closed
CL00016,S053425,4653,Customs Issue,Closed
CL00017,S071738,8172,Late Delivery,Under Review
CL00018,S038470,14534,Customs Issue,Under Review
CL00019,S074979,3991,Customs Issue,Closed
CL00020,S040002,2958,Lost Container,Under Review
CL00021,S089889,14072,Lost Container,Closed
CL00022,S054730,8409,Lost Container,Closed
CL00023,S033097,842,Lost Container,Under Review
CL00024,S027504,3196,Damage,Under Review
CL00025,S030527,11117,Damage,Open
CL00026,S025191,14923,Lost Container,Under Review
CL00027,S098066,1026,Late Delivery,Under Review
CL00028,S013439,10170,Lost Container,Closed
CL00029,S006481,709,Lost Container,Under Review
CL00030,S016209,7866,Damage,Open
CL00031,S067056,14437,Late Delivery,Open
CL00032,S039413,11281,Late Delivery,Open
CL00033,S002937,10392,Lost Container,Closed
CL00034,S042807,12673,Customs Issue,Under Review
CL00035,S063475,1299,Customs Issue,Open
CL00036,S058784,6366,Damage,Open
CL00037,S071521,14624,Late Delivery,Closed
CL00038,S063416,13090,Damage,Closed
CL00039,S060581,10287,Damage,Under Review
CL00040,S016533,6424,Late Delivery,Under Review
CL00041,S000405,14898,Customs Issue,Closed
CL00042,S083068,10021,Late Delivery,Closed
CL00043,S006572,12395,Late Delivery,Under Review
CL00044,S008332,6216,Customs Issue,Closed
CL00045,S062988,13936,Damage,Under Review
CL00046,S011010,11542,Damage,Open
CL00047,S076934,4494,Late Delivery,Under Review
CL00048,S048270,7222,Lost Container,Under Review
CL00049,S088014,7741,Late Delivery,Open
CL00050,S073739,13555,Damage,Closed
CL00051,S015178,13504,Customs Issue,Closed
CL00052,S041519,9755,Damage,Closed
CL00053,S040588,4115,Customs Issue,Closed
CL00054,S095510,11431,Late Delivery,Open
CL00055,S088527,12362,Late Delivery,Closed
CL00056,S049537,6543,Lost Container,Open
CL00057,S000959,13165,Damage,Open
CL00058,S022442,6633,Late Delivery,Closed
CL00059,S032946,13754,Late Delivery,Closed
CL00060,S003404,698,Lost Container,Under Review
CL00061,S090981,7588,Customs Issue,Open
CL00062,S010390,6461,Customs Issue,Closed
CL00063,S022764,5642,Damage,Closed
CL00064,S088268,2982,Damage,Closed
CL00065,S004570,10003,Customs Issue,Under Review
CL00066,S005560,5767,Late Delivery,Under Review
CL00067,S054596,8411,Lost Container,Closed
CL00068,S015506,14163,Customs Issue,Under Review
CL00069,S035143,2115,Late Delivery,Open
CL00070,S012404,5509,Damage,Under Review
CL00071,S044770,12350,Late Delivery,Under Review
CL00072,S098837,10625,Damage,Under Review
CL00073,S076436,7645,Customs Issue,Closed
CL00074,S026770,5663,Customs Issue,Under Review
CL00075,S091262,4038,Late Delivery,Open
CL00076,S040414,1426,Customs Issue,Closed
CL00077,S025250,14075,Customs Issue,Under Review
CL00078,S010937,7639,Late Delivery,Under Review
CL00079,S070716,14229,Late Delivery,Under Review
CL00080,S074872,6461,Lost Container,Under Review
CL00081,S007861,5629,Damage,Under Review
CL00082,S090904,10893,Late Delivery,Closed
CL00083,S094694,5965,Damage,Closed
CL00084,S050511,3575,Customs Issue,Open
CL00085,S072598,2607,Damage,Under Review
CL00086,S092527,12109,Late Delivery,Closed
CL00087,S046215,10495,Damage,Under Review
CL00088,S036247,2044,Lost Container,Open
CL00089,S039965,4322,Late Delivery,Under Review
CL00090,S040611,12421,Lost Container,Open
CL00091,S097887,14023,Late Delivery,Closed
CL00092,S098193,13520,Damage,Under Review
CL00093,S058801,2917,Damage,Open
CL00094,S029299,8507,Lost Container,Under Review
CL00095,S044439,13878,Late Delivery,Open
CL00096,S062142,14956,Damage,Under Review
CL00097,S027836,14507,Customs Issue,Closed
CL00098,S036500,648,Lost Container,Closed
CL00099,S058307,9797,Late Delivery,Open
CL00100,S082646,5536,Customs Issue,Closed
CL00101,S080497,3920,Late Delivery,Closed
CL00102,S038817,8134,Damage,Open
CL00103,S070072,14619,Late Delivery,Open
CL00104,S090766,3685,Damage,Closed
CL00105,S055941,12843,Customs Issue,Under Review
CL00106,S030663,1669,Customs Issue,Under Review
CL00107,S074095,2896,Damage,Closed
CL00108,S080149,6087,Late Delivery,Open
CL00109,S038452,11744,Damage,Open
CL00110,S038348,5293,Damage,Under Review
CL00111,S069456,11395,Lost Container,Open
CL00112,S059544,1496,Damage,Closed
CL00113,S068030,9070,Late Delivery,Closed
CL00114,S087237,11725,Late Delivery,Under Review
CL00115,S098040,9329,Damage,Under Review
CL00116,S092661,13118,Customs Issue,Under Review
CL00117,S032718,6238,Late Delivery,Closed
CL00118,S095588,12926,Lost Container,Closed
CL00119,S086760,2851,Lost Container,Open
CL00120,S022248,3952,Lost Container,Closed
CL00121,S026722,14408,Customs Issue,Under Review
CL00122,S075942,4320,Lost Container,Open
CL00123,S053908,14063,Damage,Under Review
CL00124,S091077,7565,Lost Container,Closed
CL00125,S081326,9390,Customs Issue,Open
CL00126,S096531,12617,Lost Container,Closed
CL00127,S083133,11719,Customs Issue,Under Review
CL00128,S028174,12574,Customs Issue,Open
CL00129,S036827,1093,Lost Container,Closed
CL00130,S027584,14655,Damage,Open
CL00131,S046818,5321,Lost Container,Closed
CL00132,S024471,6625,Customs Issue,Closed
CL00133,S049736,6738,Damage,Open
CL00134,S005538,1057,Customs Issue,Closed
CL00135,S085146,13340,Damage,Closed
CL00136,S078167,11930,Customs Issue,Open
CL00137,S098621,2841,Customs Issue,Closed
CL00138,S076459,13711,Lost Container,Closed
CL00139,S097432,14981,Customs Issue,Under Review
CL00140,S094432,6786,Damage,Under Review
CL00141,S077144,12295,Late Delivery,Under Review
CL00142,S009003,14449,Customs Issue,Open
CL00143,S055455,5317,Damage,Closed
CL00144,S025507,14497,Lost Container,Under Review
CL00145,S078240,8673,Lost Container,Under Review
CL00146,S029718,14628,Late Delivery,Open
CL00147,S014696,5800,Late Delivery,Open
CL00148,S073162,13511,Customs Issue,Under Review
CL00149,S061239,3040,Customs Issue,Under Review
CL00150,S033992,9950,Damage,Closed
CL00151,S061105,1638,Customs Issue,Closed
CL00152,S091763,9925,Late Delivery,Open
CL00153,S030821,13035,Customs Issue,Closed
CL00154,S062576,5526,Customs Issue,Under Review
CL00155,S045871,1797,Customs Issue,Open
CL00156,S098417,6506,Lost Container,Closed
CL00157,S087896,3415,Lost Container,Under Review
CL00158,S015031,5104,Damage,Open
CL00159,S019644,3100,Damage,Under Review
CL00160,S025780,1729,Customs Issue,Open
CL00161,S055318,6772,Lost Container,Closed
CL00162,S013136,9314,Customs Issue,Open
CL00163,S007583,5782,Damage,Open
CL00164,S018894,10841,Customs Issue,Open
CL00165,S031158,11667,Lost Container,Open
CL00166,S019619,6018,Late Delivery,Open
CL00167,S016220,11327,Customs Issue,Open
CL00168,S082745,7530,Lost Container,Closed
CL00169,S067011,12734,Damage,Under Review
CL00170,S036702,8490,Late Delivery,Under Review
CL00171,S026805,1999,Late Delivery,Open
CL00172,S036015,6447,Damage,Under Review
CL00173,S029238,1129,Customs Issue,Under Review
CL00174,S082153,1975,Customs Issue,Closed
CL00175,S056655,8599,Lost Container,Open
CL00176,S000301,6768,Late Delivery,Closed
CL00177,S029649,6591,Damage,Open
CL00178,S071552,12615,Damage,Closed
CL00179,S097647,11549,Damage,Under Review
CL00180,S021897,3224,Lost Container,Under Review
CL00181,S080326,12086,Late Delivery,Under Review
CL00182,S082305,11681,Lost Container,Under Review
CL00183,S071904,4681,Lost Container,Closed
CL00184,S049100,9151,Late Delivery,Under Review
CL00185,S021464,14492,Late Delivery,Under Review
CL00186,S025946,12008,Late Delivery,Under Review
CL00187,S051996,8391,Late Delivery,Open
CL00188,S028662,11652,Lost Container,Under Review
CL00189,S067553,8538,Customs Issue,Closed
CL00190,S086874,6084,Lost Container,Open
CL00191,S033460,6684,Customs Issue,Under Review
CL00192,S097501,7012,Customs Issue,Open
CL00193,S090735,1040,Customs Issue,Under Review
CL00194,S002750,1163,Late Delivery,Under Review
CL00195,S060090,795,Late Delivery,Under Review
CL00196,S088496,4341,Late Delivery,Open
CL00197,S037874,12109,Customs Issue,Under Review
CL00198,S060529,1633,Lost Container,Under Review
CL00199,S020004,7178,Late Delivery,Under Review
CL00200,S091393,14053,Damage,Open
CL00201,S084075,11508,Customs Issue,Closed
CL00202,S018279,6749,Damage,Open
CL00203,S008340,3879,Damage,Under Review
CL00204,S044528,2302,Lost Container,Under Review
CL00205,S088843,3214,Lost Container,Closed
CL00206,S010684,7985,Damage,Closed
CL00207,S049334,10189,Damage,Open
CL00208,S098347,9283,Damage,Closed
CL00209,S081059,3454,Damage,Open
CL00210,S080558,7960,Late Delivery,Under Review
CL00211,S072262,914,Lost Container,Under Review
CL00212,S081313,5399,Customs Issue,Under Review
CL00213,S030842,8953,Late Delivery,Closed
CL00214,S026852,1052,Customs Issue,Under Review
CL00215,S092486,9161,Customs Issue,Closed
CL00216,S069433,815,Customs Issue,Closed
CL00217,S071520,7639,Damage,Under Review
CL00218,S006926,8141,Lost Container,Under Review
CL00219,S074757,2500,Damage,Closed
CL00220,S057915,10807,Late Delivery,Under Review
CL00221,S000914,8402,Damage,Open
