customer_id,customer_name,industry,country,region,risk_score,credit_limit
C00000,Sutton PLC,Retail,Iran,Americas,3,1172692
C00001,"Martinez, Miller and Harmon",Electronics,Germany,MEA,46,935261
C00002,"Williams, Fields and Adams",FMCG,Japan,Europe,85,2291194
C00003,Brewer Ltd,Retail,El Salvador,APAC,86,1050401
C00004,Reed-Turner,Pharma,Holy See (Vatican City State),Europe,51,2651965
C00005,Hernandez LLC,FMCG,Maldives,APAC,96,511422
C00006,Curry-Cole,Pharma,Croatia,APAC,35,2289936
C00007,"Cook, Jones and Johnson",Retail,Iran,MEA,92,590666
C00008,"Young, Morris and Garza",Retail,Guam,Americas,51,4403245
C00009,Gonzalez Group,FMCG,Austria,Americas,84,3523349
C00010,"Wilson, Garcia and Benton",Pharma,Mali,Europe,53,2991076
C00011,"Zavala, Trevino and Hernandez",FMCG,Algeria,APAC,89,2946446
C00012,Nunez-Silva,Auto,Tunisia,MEA,28,4490987
C00013,"Stewart, Hanson and Cox",Electronics,Ecuador,MEA,46,2856516
C00014,"Williams, Williams and Richards",Retail,Bangladesh,MEA,55,3433610
C00015,Franco Group,Electronics,Tunisia,Europe,14,1377002
C00016,Evans and Sons,Pharma,Saint Barthelemy,MEA,92,1534340
C00017,"Moore, Mercer and Chase",Auto,Mauritania,Europe,70,4606090
C00018,"Ritter, Herrera and Elliott",Electronics,Estonia,MEA,32,2119669
C00019,Wright-Howard,Pharma,Fiji,Europe,30,3728544
C00020,Welch-Fox,Auto,Jersey,MEA,19,836381
C00021,Vargas PLC,Retail,Norway,APAC,11,3022519
C00022,Shelton-Blake,Pharma,Lao People's Democratic Republic,Americas,1,1227440
C00023,"Hart, Burns and Gray",FMCG,Belarus,APAC,5,3993679
C00024,Yang-Gomez,Pharma,Kyrgyz Republic,Europe,50,4936413
C00025,Patel-Hansen,Retail,Netherlands Antilles,Americas,48,4954527
C00026,"Henson, Stewart and Mason",Pharma,Norway,MEA,30,2721635
C00027,"Herrera, Noble and Young",Electronics,Nigeria,MEA,69,4448749
C00028,Butler-Sheppard,FMCG,Latvia,MEA,21,1510052
C00029,Howard-Bennett,Pharma,Italy,MEA,99,2980224
C00030,"Dorsey, Vaughn and Meyer",Retail,Dominican Republic,Americas,42,2124775
C00031,Carter LLC,Pharma,Slovakia (Slovak Republic),Europe,81,2774533
C00032,Lee Inc,Auto,Pitcairn Islands,Americas,78,1411072
C00033,Garza Group,Retail,Israel,Europe,15,3413279
C00034,Turner-Lawrence,Electronics,Martinique,Europe,66,3576104
C00035,Sanders Ltd,FMCG,Estonia,APAC,2,2943310
C00036,Cortez LLC,FMCG,Greenland,APAC,45,4208479
C00037,Young-Williams,Retail,Guinea-Bissau,MEA,85,3719241
C00038,"Stewart, Cruz and Tucker",Retail,Isle of Man,MEA,91,491711
C00039,Rojas-Davis,Retail,Zimbabwe,APAC,91,4458058
C00040,"Miller, Thomas and Sanders",FMCG,Greece,MEA,70,3864587
C00041,"Clark, Evans and Stewart",Auto,France,Americas,13,2892985
C00042,Hodges Group,Pharma,Iraq,APAC,13,3597496
C00043,"Smith, Ramos and Garcia",Retail,Israel,Americas,90,1256624
C00044,Curry and Sons,Pharma,American Samoa,APAC,18,4243352
C00045,Johnson Group,Retail,Bahamas,MEA,12,1170049
C00046,"Osborne, Davis and Blackwell",Electronics,Isle of Man,Americas,99,765195
C00047,Hanson-Jones,Electronics,Ireland,Europe,31,442116
C00048,"Scott, Lee and Smith",Auto,Myanmar,Europe,29,1471875
C00049,Cline and Sons,Auto,Papua New Guinea,Americas,48,1593009
C00050,Porter-Jackson,Pharma,Singapore,APAC,90,2601320
C00051,"Taylor, Rodriguez and Morgan",Auto,Australia,APAC,80,1711975
C00052,Hernandez Ltd,Retail,Kazakhstan,Americas,3,2281121
C00053,"Brown, Hahn and King",FMCG,Vanuatu,Europe,11,132350
C00054,"Medina, Stuart and Wilson",Electronics,Tanzania,APAC,37,4443841
C00055,Green and Sons,Retail,Luxembourg,MEA,78,2078800
C00056,Fleming-Harris,Auto,Micronesia,Americas,74,3892014
C00057,Graham-Myers,Auto,Peru,APAC,26,1326098
C00058,Gibbs-Sutton,FMCG,Holy See (Vatican City State),MEA,68,561309
C00059,"Ruiz, Maldonado and Casey",Pharma,Bermuda,Europe,21,4315125
C00060,"Townsend, Jimenez and Roberts",Electronics,Vietnam,Europe,77,4192388
C00061,"Callahan, Kelley and Phillips",Auto,United States Minor Outlying Islands,APAC,90,3839466
C00062,Kirby PLC,Retail,India,Europe,73,2011877
C00063,Bean and Sons,FMCG,Hong Kong,MEA,36,1487097
C00064,Carroll-Davidson,Pharma,Kazakhstan,APAC,35,1619801
C00065,Nguyen Ltd,Pharma,Puerto Rico,Europe,4,3901414
C00066,Walsh PLC,Electronics,Palau,Americas,97,3401391
C00067,"Gill, Keller and Richmond",Retail,Angola,Americas,45,381961
C00068,"Brooks, Elliott and White",Retail,Guatemala,MEA,53,200734
C00069,Robinson-Walters,FMCG,Belgium,MEA,10,183324
C00070,"Harris, Rogers and Hall",Electronics,British Indian Ocean Territory (Chagos Archipelago),APAC,10,3022174
C00071,Woodward-Bowen,Electronics,Suriname,Europe,87,3765194
C00072,"Moreno, Herman and Rodgers",Pharma,Iraq,Europe,75,1654767
C00073,Jordan-Garcia,FMCG,Saint Helena,Americas,17,4376804
C00074,White-Sanchez,FMCG,Zambia,APAC,30,2971491
C00075,Gonzalez-Gomez,Electronics,Iran,Americas,53,3644895
C00076,Brooks-Farley,Auto,Chad,APAC,31,4657684
C00077,Abbott-Smith,Pharma,Colombia,MEA,84,702961
C00078,"Harrison, Morgan and White",Auto,Bhutan,Americas,31,4895051
C00079,Miller Ltd,Retail,Greece,APAC,50,1608705
C00080,Washington-Mccall,Electronics,Antarctica (the territory South of 60 deg S),MEA,49,2907951
C00081,"Johnson, Hunter and Jones",Pharma,United States of America,MEA,70,2504465
C00082,Powers-Reeves,Electronics,Honduras,MEA,78,4996294
C00083,"Ross, Adkins and Greer",Retail,Estonia,Europe,44,3976060
C00084,Andrews-Kelly,FMCG,Costa Rica,MEA,76,3463068
C00085,Gonzales-Oliver,Auto,Latvia,Americas,7,4540715
C00086,"Huffman, Ross and Evans",FMCG,Gabon,MEA,88,2537086
C00087,Allen Inc,Auto,Bolivia,APAC,81,2343109
C00088,Sanders-Mann,Pharma,Egypt,APAC,49,1022287
C00089,Grimes LLC,Electronics,France,APAC,64,583558
C00090,Davis-Pena,FMCG,Yemen,Americas,21,1483669
C00091,Hunter Ltd,Pharma,Tuvalu,Europe,40,1475058
C00092,Massey Ltd,FMCG,Syrian Arab Republic,MEA,17,1863421
C00093,Johnson LLC,Pharma,Macao,Americas,48,3977806
C00094,"Hunt, Reid and Sweeney",Auto,Niue,Europe,39,4565654
C00095,Cruz Inc,Pharma,Cote d'Ivoire,Europe,57,655883
C00096,Ryan LLC,Electronics,Belgium,Europe,2,2063129
C00097,Ross and Sons,Auto,Lao People's Democratic Republic,Europe,9,166046
C00098,Garcia Inc,Auto,Guinea-Bissau,Europe,27,3363660
C00099,Gutierrez-Nielsen,FMCG,Iraq,MEA,54,1165256
C00100,Herrera-Wright,Auto,Japan,Europe,49,970388
C00101,"Sanchez, Montoya and Patel",Electronics,Turkmenistan,Americas,22,3176121
C00102,Munoz PLC,Pharma,Tanzania,Europe,32,678325
C00103,Jones LLC,FMCG,Antigua and Barbuda,MEA,75,2659803
C00104,Walker-Drake,Electronics,Romania,APAC,50,310887
C00105,"Barton, Gray and Hall",FMCG,China,APAC,67,700797
C00106,Norris-Hernandez,Retail,Syrian Arab Republic,Europe,32,951205
C00107,Hall Ltd,Auto,Puerto Rico,APAC,71,1814619
C00108,"Hughes, Graham and French",FMCG,Reunion,APAC,41,2138697
