invoice_id,shipment_id,customer_id,invoice_date,invoice_amount,tax_amount,payment_due_date,invoice_status
INV00000,S017128,C00937,2024-11-13,34301.43,6174.2573999999995,2024-11-13,Paid
INV00001,S048209,C00606,2025-08-09,39184.36,7053.1848,2025-08-09,Disputed
INV00002,S027441,C00752,2025-11-12,9377.84,1688.0112,2025-11-12,Pending
INV00003,S023340,C00025,2025-02-15,49289.42,8872.095599999999,2025-02-15,Paid
INV00004,S008933,C00650,2024-10-11,42000.56,7560.100799999999,2024-10-11,Disputed
INV00005,S038980,C00646,2024-07-02,36219.28,6519.470399999999,2024-07-02,Disputed
INV00006,S071730,C00472,2025-04-01,18654.22,3357.7596,2025-04-01,Disputed
INV00007,S058843,C00484,2025-04-27,50805.14000000001,9144.925200000001,2025-04-27,Overdue
INV00008,S002582,C00954,2024-06-12,56207.46000000001,10117.3428,2024-06-12,Overdue
INV00009,S017885,C00355,2024-07-12,43914.57,7904.6226,2024-07-12,Disputed
INV00010,S010598,C00580,2025-02-11,24817.75,4467.195,2025-02-11,Paid
INV00011,S017766,C00215,2024-12-24,22142.92,3985.7255999999998,2024-12-24,Overdue
INV00012,S057854,C00780,2025-05-02,20197.78,3635.6004,2025-05-02,Paid
INV00013,S019752,C00570,2026-03-17,34226.32,6160.7375999999995,2026-03-17,Paid
INV00014,S069372,C00443,2026-02-17,26661.4,4799.052,2026-02-17,Disputed
INV00015,S084957,C00586,2025-11-14,16425.48,2956.5863999999997,2025-11-14,Overdue
INV00016,S022457,C00957,2024-11-25,8006.629999999999,1441.1933999999999,2024-11-25,Pending
INV00017,S073434,C00486,2024-10-16,8160.18,1468.8324,2024-10-16,Disputed
INV00018,S081798,C00727,2024-11-24,52183.950000000004,9393.111,2024-11-24,Paid
INV00019,S047113,C00545,2026-04-02,47668.840000000004,8580.3912,2026-04-02,Disputed
INV00020,S051916,C00144,2026-03-27,14722.54,2650.0572,2026-03-27,Paid
INV00021,S068473,C00202,2024-12-31,48465.38,8723.768399999999,2024-12-31,Paid
INV00022,S086564,C00876,2024-08-02,41560.399999999994,7480.8719999999985,2024-08-02,Paid
INV00023,S096991,C00296,2026-03-15,53491.64,9628.4952,2026-03-15,Paid
INV00024,S017755,C00018,2024-11-25,36168.38,6510.308399999999,2024-11-25,Paid
INV00025,S011237,C00416,2025-08-13,25305.260000000002,4554.946800000001,2025-08-13,Overdue
INV00026,S007177,C00464,2024-11-04,35193.77,6334.878599999999,2024-11-04,Paid
INV00027,S076376,C00475,2024-07-10,21931.63,3947.6934,2024-07-10,Pending
INV00028,S032019,C00267,2025-01-08,40067.34,7212.121199999999,2025-01-08,Overdue
INV00029,S060162,C00902,2025-01-25,47449.93,8540.9874,2025-01-25,Pending
INV00030,S085617,C00200,2025-08-05,47503.420000000006,8550.615600000001,2025-08-05,Pending
INV00031,S020077,C00085,2024-12-05,18060.45,3250.881,2024-12-05,Pending
INV00032,S032118,C00061,2025-06-29,50720.79,9129.7422,2025-06-29,Disputed
