payment_id,invoice_id,payment_date,payment_amount,payment_method,payment_status
P000000,INV00000,2024-11-25,34301.43,Wire,Full
P000001,INV00001,2025-08-28,17965.95,Bank Transfer,Partial
P000002,INV00002,2025-12-09,9377.84,Credit Card,Full
P000003,INV00003,2025-03-10,49289.42,Wire,Full
P000004,INV00004,2024-11-22,42000.56,Credit Card,Full
P000005,INV00005,2024-07-17,15157.97,Bank Transfer,Partial
P000006,INV00006,2025-04-03,18654.22,Wire,Full
P000007,INV00007,2025-06-02,50805.14000000001,Wire,Full
P000008,INV00008,2024-06-26,56207.46000000001,Wire,Full
P000009,INV00009,2024-08-25,21749.05,Bank Transfer,Partial
P000010,INV00010,2025-02-19,24817.75,Credit Card,Full
P000011,INV00011,2024-12-31,0.0,Credit Card,Failed
P000012,INV00012,2025-06-14,20197.78,Credit Card,Full
P000013,INV00013,2026-03-29,34226.32,Wire,Full
P000014,INV00014,2026-02-20,26661.4,Wire,Full
P000015,INV00015,2025-12-27,16425.48,Credit Card,Full
P000016,INV00016,2024-12-06,8006.629999999999,Credit Card,Full
P000017,INV00017,2024-10-26,8160.18,Wire,Full
P000018,INV00018,2024-11-29,52183.950000000004,Wire,Full
P000019,INV00019,2026-04-06,47668.840000000004,Bank Transfer,Full
P000020,INV00020,2026-04-21,0.0,Credit Card,Failed
P000021,INV00021,2025-01-08,16169.1,Credit Card,Partial
P000022,INV00022,2024-09-03,41560.399999999994,Bank Transfer,Full
P000023,INV00023,2026-04-27,31193.18,Bank Transfer,Partial
P000024,INV00024,2024-12-07,36168.38,Credit Card,Full
P000025,INV00025,2025-09-22,9271.63,Credit Card,Partial
P000026,INV00026,2024-12-17,19262.08,Credit Card,Partial
P000027,INV00027,2024-07-21,10073.33,Wire,Partial
P000028,INV00028,2025-01-15,40067.34,Bank Transfer,Full
P000029,INV00029,2025-01-27,0.0,Credit Card,Failed
P000030,INV00030,2025-09-15,47503.420000000006,Wire,Full
P000031,INV00031,2025-01-14,18060.45,Credit Card,Full
P000032,INV00032,2025-07-30,50720.79,Wire,Full
P000033,INV00033,2024-07-08,39399.98,Bank Transfer,Full
P000034,INV00034,2025-04-09,42479.73,Bank Transfer,Full
P000035,INV00035,2025-10-15,0.0,Credit Card,Failed
P000036,INV00036,2024-09-30,18216.01,Bank Transfer,Partial
P000037,INV00037,2025-06-16,16201.41,Bank Transfer,Partial
P000038,INV00038,2025-06-05,25317.8,Credit Card,Full
P000039,INV00039,2026-05-17,51489.26,Wire,Full
P000040,INV00040,2025-09-11,25997.3,Credit Card,Full
P000041,INV00041,2025-10-27,16861.45,Bank Transfer,Full
P000042,INV00042,2025-10-19,42909.35,Bank Transfer,Full
P000043,INV00043,2025-01-28,27273.45,Credit Card,Full
P000044,INV00044,2025-06-18,0.0,Bank Transfer,Failed
P000045,INV00045,2025-05-29,36467.67,Wire,Full
P000046,INV00046,2026-01-04,24545.1,Credit Card,Full
P000047,INV00047,2025-07-12,35718.26,Wire,Full
P000048,INV00048,2024-10-21,0.0,Credit Card,Failed
P000049,INV00049,2025-12-27,33317.01,Credit Card,Full
P000050,INV00050,2025-07-29,36728.42,Bank Transfer,Full
P000051,INV00051,2025-07-27,14871.27,Bank Transfer,Full
P000052,INV00052,2026-06-13,15659.46,Bank Transfer,Partial
P000053,INV00053,2025-08-12,23398.0,Wire,Full
P000054,INV00054,2025-12-08,10522.87,Credit Card,Partial
P000055,INV00055,2025-08-06,46503.79,Wire,Full
P000056,INV00056,2025-12-06,14691.5,Bank Transfer,Partial
P000057,INV00057,2025-03-31,26493.04,Wire,Full
P000058,INV00058,2024-12-25,34495.31,Wire,Full
P000059,INV00059,2024-10-11,0.0,Wire,Failed
P000060,INV00060,2025-12-23,8895.67,Credit Card,Partial
P000061,INV00061,2024-12-27,22929.84,Credit Card,Partial
P000062,INV00062,2024-12-06,19788.059999999998,Wire,Full
P000063,INV00063,2024-11-18,45828.509999999995,Credit Card,Full
P000064,INV00064,2024-08-24,29784.93,Bank Transfer,Full
P000065,INV00065,2026-03-04,54742.73,Credit Card,Full
P000066,INV00066,2026-01-06,6871.66,Credit Card,Full
P000067,INV00067,2024-12-10,8473.02,Credit Card,Partial
P000068,INV00068,2025-12-27,10208.400000000001,Wire,Full
P000069,INV00069,2025-02-04,24562.02,Credit Card,Partial
P000070,INV00070,2026-05-16,55905.12,Wire,Full
P000071,INV00071,2026-05-11,41098.75,Credit Card,Full
P000072,INV00072,2026-01-29,14085.48,Wire,Partial
P000073,INV00073,2025-06-07,26144.46,Wire,Partial
P000074,INV00074,2026-02-17,34965.850000000006,Wire,Full
P000075,INV00075,2025-01-11,34951.49,Wire,Full
P000076,INV00076,2025-12-04,16521.87,Credit Card,Full
P000077,INV00077,2025-05-25,28421.84,Wire,Full
P000078,INV00078,2025-07-17,21533.62,Bank Transfer,Partial
P000079,INV00079,2024-09-11,53890.7,Bank Transfer,Full
P000080,INV00080,2026-04-01,38232.47,Bank Transfer,Full
P000081,INV00081,2026-06-03,25983.9,Bank Transfer,Full
P000082,INV00082,2025-09-28,57034.630000000005,Credit Card,Full
P000083,INV00083,2026-04-21,29300.82,Bank Transfer,Full
P000084,INV00084,2024-08-28,13905.07,Credit Card,Full
P000085,INV00085,2026-03-19,35986.69,Credit Card,Full
P000086,INV00086,2026-02-02,34230.689999999995,Wire,Full
P000087,INV00087,2025-08-29,45626.28,Bank Transfer,Full
P000088,INV00088,2025-06-03,32207.23,Bank Transfer,Full
P000089,INV00089,2024-12-21,23748.71,Bank Transfer,Full
P000090,INV00090,2025-02-03,16484.64,Bank Transfer,Full
P000091,INV00091,2025-05-31,9260.0,Bank Transfer,Partial
P000092,INV00092,2025-03-24,17758.04,Credit Card,Partial
P000093,INV00093,2026-01-31,12561.01,Bank Transfer,Partial
P000094,INV00094,2025-11-18,61093.86,Wire,Full
P000095,INV00095,2026-06-09,52247.229999999996,Bank Transfer,Full
P000096,INV00096,2025-06-13,40446.48,Credit Card,Full
P000097,INV00097,2025-10-20,8385.76,Bank Transfer,Partial
P000098,INV00098,2024-10-14,13329.01,Wire,Partial
P000099,INV00099,2025-04-22,40415.81,Credit Card,Full
P000100,INV00100,2025-07-08,11181.22,Bank Transfer,Partial
P000101,INV00101,2025-05-27,36169.04,Wire,Full
P000102,INV00102,2025-07-10,41076.39,Wire,Full
P000103,INV00103,2025-08-12,22522.93,Wire,Full
P000104,INV00104,2026-04-03,23610.12,Credit Card,Full
P000105,INV00105,2026-02-20,36092.53,Wire,Full
P000106,INV00106,2024-10-21,16289.84,Credit Card,Partial
P000107,INV00107,2024-12-08,34801.07,Wire,Full
P000108,INV00108,2024-11-27,33392.71000000001,Credit Card,Full
P000109,INV00109,2025-03-21,13623.98,Bank Transfer,Full
P000110,INV00110,2026-01-15,8384.67,Bank Transfer,Partial
P000111,INV00111,2025-09-24,59491.66,Bank Transfer,Full
P000112,INV00112,2026-04-02,31976.04,Wire,Full
P000113,INV00113,2024-07-21,7034.55,Credit Card,Full
P000114,INV00114,2024-06-26,13437.73,Wire,Full
P000115,INV00115,2025-11-04,52909.54,Bank Transfer,Full
P000116,INV00116,2026-06-24,13697.98,Wire,Full
P000117,INV00117,2026-02-08,47157.68,Bank Transfer,Full
P000118,INV00118,2025-06-09,48524.88,Bank Transfer,Full
P000119,INV00119,2024-08-21,6070.41,Bank Transfer,Partial
P000120,INV00120,2026-05-22,49163.66,Wire,Full
P000121,INV00121,2025-01-03,5436.0,Bank Transfer,Partial
P000122,INV00122,2024-07-06,11432.1,Credit Card,Full
P000123,INV00123,2024-09-11,45006.57,Wire,Full
